timestamp,news_impact_score,predicted_direction,pattern_signal,confidence
2026-03-23 19:03:16.431069,3.0,NEUTRAL,HOLD,60.0
2026-03-23 19:03:16.431069,3.0,BULLISH,HOLD,62
2026-03-23 19:15:00.702753,1.5,NEUTRAL,BUY,55
2026-03-23 19:15:00.702753,1.5,BULLISH,BUY,55
2026-03-23 19:25:00.710798,1.5,NEUTRAL,SELL,55
2026-03-23 19:33:17.717089,3.0,NEUTRAL,HOLD,60.0
2026-03-23 19:33:17.717089,3.0,BULLISH,HOLD,58
2026-03-23 19:35:00.719476,1.5,NEUTRAL,SELL,55
2026-03-23 19:45:00.726679,1.5,NEUTRAL,BUY,75
2026-03-23 19:45:00.726679,1.5,BULLISH,BUY,52
2026-03-23 19:55:00.734599,1.5,NEUTRAL,BUY,75
