obs,action,reward,price
"[0.9505, 2.0, 0.26666666666666666, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.35, 0.0, 0.0]",HOLD,0.7333333333333335,6653.5
"[0.9504642857142858, 2.0, 0.26666666666666666, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.35, 0.0, 0.0]",SELL,0.7333333333333335,6653.25
"[0.9503571428571429, 2.0, 0.26666666666666666, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10416666666666667, 0.4996, 0.0, 0.0, 0.35, 0.0, 0.0]",HOLD,0.7333333333333335,6652.5
"[0.9503928571428572, 2.0, 0.26666666666666666, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.041666666666666664, 0.4304, 0.0, 0.0, 0.35, 0.0, 0.0]",BUY,0.7333333333333335,6652.75
"[0.95025, 2.0, 0.26666666666666666, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.020833333333333332, 0.3754, 0.0, 0.0, 0.35, 0.0, 0.0]",BUY,0.7333333333333335,6651.75
"[0.9500357142857143, 2.0, 0.26666666666666666, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.14583333333333334, 0.3362, 0.0, 0.0, 0.35, 0.0, 0.0]",BUY,0.7333333333333335,6650.25
"[0.9500357142857143, 2.0, 0.26666666666666666, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.25, 0.3044, 0.0, 0.0, 0.35, 0.0, 0.0]",BUY,0.7333333333333335,6650.25
"[0.9501428571428572, 2.0, 0.26666666666666666, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.1875, 0.2781, 0.0, 0.0, 0.35, 0.0, 0.0]",HOLD,0.7333333333333335,6651.0
"[0.9503571428571429, 2.0, 0.26666666666666666, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.14583333333333334, 0.254, 0.0, 0.0, 0.35, 0.0, 0.0]",HOLD,0.7333333333333335,6652.5
"[0.9504285714285714, 2.0, 0.26666666666666666, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.2264, 0.0, 0.0, 0.35, 0.0, 0.0]",SELL,0.7333333333333335,6653.0
"[0.9505357142857143, 2.0, 0.26666666666666666, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.22916666666666666, 0.2152, 0.0, 0.0, 0.35, 0.0, 0.0]",SELL,0.7333333333333335,6653.75
"[0.9504285714285714, 2.0, 0.26666666666666666, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2916666666666667, 0.2074, -0.6, -0.6, 0.4240196078431373, 0.0, 0.0]",HOLD,-2.2705882352941176,6653.0
"[0.9505, 2.0, 0.26666666666666666, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.16666666666666666, 0.2026, -0.6, -0.6, 0.4137254901960784, 0.0, 0.0]",BUY,-2.311764705882353,6653.5
"[0.9506785714285715, 2.0, 0.26666666666666666, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.08333333333333333, 0.1981, 0.6, -0.2, 0.35, 0.0, 0.0]",HOLD,4.033333333333333,6654.75
"[0.9508928571428571, 2.0, 0.26666666666666666, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.14583333333333334, 0.1968, 0.6, 0.0, 0.35, 0.0, 0.0]",SELL,4.033333333333333,6656.25
"[0.9509642857142857, 2.0, 0.26666666666666666, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.20833333333333334, 0.1982, -0.6, -0.12, 0.35, 0.0, 0.0]",BUY,-2.566666666666667,6656.75
"[0.9509285714285715, 2.0, 0.26666666666666666, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.3125, 0.2021, -0.6, -0.2, 0.35, 0.0, 0.0]",HOLD,-2.566666666666667,6656.5
"[0.9506785714285715, 2.0, 0.26666666666666666, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.25, 0.2082, -0.6, -0.2571428571428572, 0.35, 0.0, 0.0]",HOLD,-2.566666666666667,6654.75
"[0.9506428571428571, 2.0, 0.26666666666666666, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.2146, -0.6, -0.3, 0.35, 0.0, 0.0]",BUY,-2.566666666666667,6654.5
"[0.9505357142857143, 2.0, 0.26666666666666666, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.14583333333333334, 0.2212, -0.6, -0.33333333333333337, 0.3571078431372549, 0.0, 0.0]",SELL,-2.5382352941176474,6653.75
"[0.9506071428571429, 2.0, 0.26666666666666666, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.25, 0.2284, -0.6, -0.36, 0.3711764705882353, 0.0, 0.0]",HOLD,-2.481960784313726,6654.25
"[0.9508571428571428, 2.0, 0.26666666666666666, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.1875, 0.2356, -0.6, -0.38181818181818183, 0.3705213903743315, 0.0, 0.0]",HOLD,-2.4845811051693407,6656.0
"[0.9508214285714286, 2.0, 0.26666666666666666, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.10416666666666667, 0.2434, 0.6, -0.3, 0.35, 0.0, 0.0]",HOLD,4.033333333333333,6655.75
"[0.9507857142857142, 2.0, 0.26666666666666666, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.10416666666666667, 0.2521, 0.6, -0.23076923076923075, 0.35, 0.0, 0.0]",HOLD,4.033333333333333,6655.5
"[0.951, 2.0, 0.26666666666666666, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.14583333333333334, 0.2592, -0.6, -0.2571428571428572, 0.35, 0.0, 0.0]",HOLD,-2.566666666666667,6657.0
"[0.9510357142857143, 2.0, 0.26666666666666666, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.22916666666666666, 0.2625, -0.6, -0.27999999999999997, 0.35299019607843135, 0.0, 0.0]",HOLD,-2.5547058823529416,6657.25
"[0.9509642857142857, 2.0, 0.26666666666666666, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.10416666666666667, 0.262, 0.6, -0.225, 0.35, 0.0, 0.0]",HOLD,4.033333333333333,6656.75
"[0.9509285714285715, 2.0, 0.26666666666666666, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.08333333333333333, 0.2576, -0.6, -0.24705882352941178, 0.35, 0.0, 0.0]",HOLD,-2.566666666666667,6656.5
"[0.9509285714285715, 2.0, 0.26666666666666666, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.08333333333333333, 0.2525, 0.6, -0.2, 0.35, 0.0, 0.0]",HOLD,4.033333333333333,6656.5
"[0.9508571428571428, 2.0, 0.26666666666666666, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.041666666666666664, 0.2463, -0.6, -0.2210526315789474, 0.35, 0.0, 0.0]",HOLD,-2.566666666666667,6656.0
"[0.9506071428571429, 2.0, 0.26666666666666666, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.10416666666666667, 0.2397, -0.6, -0.24, 0.35, 0.0, 0.0]",HOLD,-2.566666666666667,6654.25
"[0.9505357142857143, 2.0, 0.26666666666666666, -1.0, -1.0, -0.21951219512195125, 0.0810893586196471, -0.009012730481805509, 0.0, 1.0, -0.20833333333333334, 0.2342, -0.6, -0.2571428571428572, 0.35, 0.0, 0.0]",HOLD,-2.566666666666667,6653.75
"[0.9505357142857143, 2.0, 0.26666666666666666, -1.0, 1.0, -0.11111111111111129, 0.059924410332405385, -0.009013407443572152, 0.0, 1.0, -0.22916666666666666, 0.2241, 0.6, -0.21818181818181817, 0.35, 0.0, 0.0]",HOLD,4.033333333333333,6653.75
"[0.9505357142857143, 2.0, 0.26666666666666666, -1.0, 1.0, -0.08571428571428569, 0.0426619358328935, -0.008262600465709369, 0.0, 1.0, -0.22916666666666666, 0.2134, -0.6, -0.2347826086956522, 0.35, 0.0, 0.0]",HOLD,-2.566666666666667,6653.75
"[0.9505714285714286, 2.0, 0.26666666666666666, -1.0, 1.0, 0.0, 0.02865314995024164, -0.008262600465709369, 0.0, 1.0, -0.1875, 0.2033, -0.6, -0.25, 0.35, 0.0, 0.0]",HOLD,-2.566666666666667,6654.0
"[0.9505357142857143, 2.0, 0.26666666666666666, -1.0, 1.0, -0.03225806451612897, 0.019318069107976045, -0.006009615384614531, 0.0, 1.0, -0.020833333333333332, 0.1952, -0.6, -0.264, 0.35, 0.0, 0.0]",HOLD,-2.566666666666667,6653.75
"[0.9503571428571429, 2.0, 0.26666666666666666, -1.0, -1.0, -0.36, 0.00981771067436057, -0.0015027989630689298, 0.0, 1.0, 0.0, 0.1867, -0.6, -0.27692307692307694, 0.35, 0.0, 0.0]",HOLD,-2.566666666666667,6652.5
"[0.9503928571428572, 2.0, 0.26666666666666666, -1.0, -1.0, -0.4482758620689654, -0.0075833712938219834, -0.003757279729474927, 0.0, 1.0, -0.10416666666666667, 0.1808, 0.6, -0.24444444444444446, 0.35, 0.0, 0.0]",HOLD,4.033333333333333,6652.75
